City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Kodiak,US,2022-01-09 14:09:27,57.79,-152.4072,31.96,81,100,33.8
96,Vostok,RU,2022-01-09 14:09:28,46.4856,135.8833,-17.27,99,86,4.29
97,Baykit,RU,2022-01-09 14:09:28,61.67,96.37,14.04,97,100,4.09
98,Cidreira,BR,2022-01-09 14:09:28,-30.1811,-50.2056,74.68,65,38,17.6
99,Coquimbo,CL,2022-01-09 14:09:28,-29.9533,-71.3436,69.53,60,20,9.22
100,Atasu,KZ,2022-01-09 14:09:29,48.6814,71.6433,-3.57,100,13,3.78
101,Road Town,VG,2022-01-09 14:06:35,18.4167,-64.6167,80.69,74,40,11.5
102,Ransang,PH,2022-01-09 14:09:29,8.9603,117.5828,79.34,84,22,7.72
103,Khorramshahr,IR,2022-01-09 14:09:29,30.4397,48.1664,67.95,33,0,4.03
104,Sitka,US,2022-01-09 14:09:29,57.0531,-135.33,40.89,60,100,24.16
105,Avarua,CK,2022-01-09 14:09:30,-21.2078,-159.775,77.05,94,40,4.61
106,Carnarvon,AU,2022-01-09 14:09:30,-24.8667,113.6333,73.47,73,0,21.85
107,Bonavista,CA,2022-01-09 14:09:30,48.6499,-53.1147,21.11,70,100,21.97
108,The Valley,AI,2022-01-09 14:09:30,18.217,-63.0578,81.82,67,0,23.91
109,East London,ZA,2022-01-09 14:09:31,-33.0153,27.9116,79.61,72,0,25.03
110,Ust-Kalmanka,RU,2022-01-09 14:09:31,52.1207,83.305,26.73,93,100,19.6
111,Qaanaaq,GL,2022-01-09 14:09:31,77.484,-69.3632,-3.37,70,82,5.93
112,Upernavik,GL,2022-01-09 14:09:31,72.7868,-56.1549,1.67,100,100,11.63
113,Port Hardy,CA,2022-01-09 14:09:32,50.6996,-127.4199,46.76,91,100,20.76
114,Bowen,AU,2022-01-09 14:09:32,-20.0167,148.2333,82.45,76,56,14.45
115,Tual,ID,2022-01-09 14:09:32,-5.6667,132.75,83.59,74,93,11.48
116,Bagdarin,RU,2022-01-09 14:09:22,54.4333,113.6,-20.34,93,7,3.53
117,Preobrazheniye,RU,2022-01-09 14:09:33,42.9019,133.9064,16.61,48,0,4.97
118,Henties Bay,NA,2022-01-09 14:09:33,-22.116,14.2845,69.85,78,97,12.21
119,Taonan,CN,2022-01-09 14:09:33,45.3333,122.7833,-1.86,97,89,1.72
120,Bambous Virieux,MU,2022-01-09 14:09:33,-20.3428,57.7575,80.22,76,74,9.44
121,Praya,CV,2022-01-09 14:09:34,14.9215,-23.5087,74.88,59,100,8.28
122,Liku,ID,2022-01-09 14:09:34,-0.7275,119.8922,75.09,90,99,0.36
123,Leningradskiy,RU,2022-01-09 14:09:34,69.3833,178.4167,-11.96,91,91,9.86
124,Pevek,RU,2022-01-09 14:09:34,69.7008,170.3133,-15.45,100,68,3.76
125,Kruisfontein,ZA,2022-01-09 14:09:35,-34.0033,24.7314,84.83,51,0,19.62
126,Narsaq,GL,2022-01-09 14:09:35,60.9167,-46.05,14.22,94,100,3.18
127,Constantine,DZ,2022-01-09 14:09:35,36.365,6.6147,56.61,38,40,14.97
128,Iquitos,PE,2022-01-09 14:09:36,-3.7481,-73.2472,82.44,78,0,5.75
129,Hervey Bay,AU,2022-01-09 14:08:16,-25.2986,152.8535,74.01,87,0,1.01
130,Marawi,PH,2022-01-09 14:09:36,7.9986,124.2928,68.65,97,100,1.19
131,Plettenberg Bay,ZA,2022-01-09 14:09:36,-34.0527,23.3716,79.92,61,24,10.56
132,Garmsar,IR,2022-01-09 14:09:36,35.2182,52.3409,49.75,32,0,2.66
133,Atuona,PF,2022-01-09 14:09:37,-9.8,-139.0333,78.3,73,49,19.75
134,San Quintin,MX,2022-01-09 14:09:37,30.4833,-115.95,56.61,71,100,3.27
135,Namatanai,PG,2022-01-09 14:09:37,-3.6667,152.4333,79.92,78,100,5.08
136,Ahipara,NZ,2022-01-09 14:09:37,-35.1667,173.1667,63.28,89,100,1.74
137,Altay,CN,2022-01-09 14:09:38,47.8667,88.1167,14.77,65,55,7.27
138,Mar Del Plata,AR,2022-01-09 14:09:38,-38.0023,-57.5575,76.87,68,49,14.0
139,Nishihara,JP,2022-01-09 14:10:38,26.1842,127.7558,65.48,68,20,19.57
140,Souillac,MU,2022-01-09 14:10:38,-20.5167,57.5167,80.37,74,97,5.39
141,Tiksi,RU,2022-01-09 14:10:39,71.6872,128.8694,-25.83,97,43,8.1
142,Taltal,CL,2022-01-09 14:10:39,-25.4,-70.4833,69.62,70,22,5.32
143,Batagay,RU,2022-01-09 14:10:39,67.6333,134.6333,-30.75,99,37,3.62
144,Bongandanga,CD,2022-01-09 14:10:39,1.5,21.05,92.98,35,100,0.92
145,Zempoala,MX,2022-01-09 14:10:40,19.45,-96.4167,72.91,77,96,2.98
146,Husavik,IS,2022-01-09 14:10:40,66.0449,-17.3389,28.02,86,14,11.41
147,Dunmore Town,BS,2022-01-09 14:10:40,25.5,-76.65,74.66,74,100,25.32
148,Claresholm,CA,2022-01-09 14:06:24,50.0333,-113.5852,-11.88,93,15,4.9
149,Nogales,MX,2022-01-09 14:10:41,31.3086,-110.9422,50.95,81,0,5.75
150,Celendin,PE,2022-01-09 14:10:41,-6.8703,-78.1517,61.32,80,100,1.34
151,Chokurdakh,RU,2022-01-09 14:10:41,70.6333,147.9167,-23.15,95,72,8.28
152,Oranjemund,NA,2022-01-09 14:10:41,-28.55,16.4333,71.69,72,73,7.61
153,Los Llanos De Aridane,ES,2022-01-09 14:10:42,28.6585,-17.9182,68.13,40,0,5.01
154,Dingle,PH,2022-01-09 14:10:42,10.9995,122.6711,74.34,92,7,6.13
155,Noumea,NC,2022-01-09 14:10:42,-22.2763,166.4572,81.0,99,78,13.98
156,Verkhnevilyuysk,RU,2022-01-09 14:10:42,63.4453,120.3167,-33.41,98,15,4.21
157,Port Hedland,AU,2022-01-09 14:10:43,-20.3167,118.5667,84.25,79,5,10.36
158,Makakilo City,US,2022-01-09 14:10:43,21.3469,-158.0858,68.61,86,0,5.75
159,Laguna,US,2022-01-09 14:10:43,38.421,-121.4238,46.42,96,40,1.01
160,Amalapuram,IN,2022-01-09 14:10:43,16.5833,82.0167,79.18,84,1,3.53
161,Padang,ID,2022-01-09 14:10:44,-0.9492,100.3543,77.05,85,92,2.37
162,Takoradi,GH,2022-01-09 14:10:44,4.8845,-1.7554,87.3,58,40,9.86
163,Vila Velha,BR,2022-01-09 14:10:44,-20.3297,-40.2925,76.95,96,100,0.0
164,Lavrentiya,RU,2022-01-09 14:10:44,65.5833,-171.0,-11.96,80,1,7.72
165,Port Pirie,AU,2022-01-09 14:10:45,-33.1833,138.0167,80.11,29,0,7.76
166,Horsham,GB,2022-01-09 14:10:45,51.064,-0.3272,48.45,63,40,8.05
167,Gwadar,PK,2022-01-09 14:10:45,25.1216,62.3254,66.94,35,0,2.3
168,Gizo,SB,2022-01-09 14:10:45,-8.103,156.8419,81.97,80,25,10.87
169,Kaiserslautern,DE,2022-01-09 14:10:46,49.45,7.75,43.34,61,40,1.01
170,Udachnyy,RU,2022-01-09 14:10:46,66.4167,112.4,2.44,77,100,22.21
171,Novopavlovka,RU,2022-01-09 14:10:46,51.2172,109.2091,-15.77,100,20,1.97
172,Opuwo,NA,2022-01-09 14:10:47,-18.0607,13.84,94.82,15,100,15.14
173,Katherine,AU,2022-01-09 14:10:47,-14.4667,132.2667,80.92,69,75,8.05
174,Nikolskoye,RU,2022-01-09 14:10:47,59.7035,30.7861,24.69,97,98,4.14
175,Anahuac,MX,2022-01-09 14:10:48,27.2333,-100.15,59.67,97,65,7.02
176,Sao Filipe,CV,2022-01-09 14:10:48,14.8961,-24.4956,75.07,58,98,5.86
177,Chongwe,ZM,2022-01-09 14:10:48,-15.3292,28.682,70.66,90,99,3.56
178,Orebro,SE,2022-01-09 14:10:48,59.2741,15.2066,32.18,67,100,10.36
179,Zamberk,CZ,2022-01-09 14:10:49,50.086,16.4674,33.24,90,100,9.46
180,Talnakh,RU,2022-01-09 14:10:49,69.4865,88.3972,4.21,96,100,6.6
181,Jumla,NP,2022-01-09 14:10:49,29.2747,82.1838,34.2,92,22,5.86
182,Homer,US,2022-01-09 14:10:49,59.6425,-151.5483,12.09,73,0,14.97
183,Caravelas,BR,2022-01-09 14:11:50,-17.7125,-39.2481,85.75,66,100,6.82
184,Yaan,NG,2022-01-09 14:11:50,7.3833,8.5667,100.53,12,12,3.78
185,Vredendal,ZA,2022-01-09 14:11:50,-31.6683,18.5012,77.63,57,100,9.86
186,Ternate,ID,2022-01-09 14:11:51,0.8,127.4,81.28,81,87,5.79
187,Fredonia,US,2022-01-09 14:11:51,42.4401,-79.3317,40.75,88,100,24.05
188,Uusikaupunki,FI,2022-01-09 14:11:51,60.8004,21.4084,25.32,95,95,5.5
189,Yellowknife,CA,2022-01-09 14:11:51,62.456,-114.3525,-26.72,83,19,8.01
190,Rio Gallegos,AR,2022-01-09 14:11:52,-51.6226,-69.2181,59.05,33,40,24.16
191,Nara,JP,2022-01-09 14:11:16,34.6851,135.8049,45.91,54,97,0.54
192,Gat,IL,2022-01-09 14:11:52,31.61,34.7642,61.48,42,100,13.09
193,Suntar,RU,2022-01-09 14:11:52,62.1444,117.6319,-32.89,99,12,4.18
194,Slave Lake,CA,2022-01-09 14:11:52,55.2834,-114.769,-4.14,96,100,5.88
195,Tabou,CI,2022-01-09 14:11:53,4.423,-7.3528,83.91,69,100,7.72
196,Rawson,AR,2022-01-09 14:11:53,-43.3002,-65.1023,79.86,41,0,6.76
197,Ossora,RU,2022-01-09 14:11:53,59.2353,163.0719,23.94,96,100,10.18
198,Isiolo,KE,2022-01-09 14:11:53,0.3546,37.5822,79.39,52,30,11.32
199,Padilla,CO,2022-01-09 14:11:54,3.2204,-76.3139,70.47,85,97,1.88
200,Kuandian,CN,2022-01-09 14:11:54,40.7286,124.7847,15.03,83,99,4.0
201,Cairns,AU,2022-01-09 14:11:54,-16.9167,145.7667,78.06,96,100,6.91
202,San Patricio,US,2022-01-09 14:11:54,28.017,-97.5169,73.49,99,56,1.21
203,Jabinyanah,TN,2022-01-09 14:11:55,35.035,10.9081,60.53,34,100,15.26
204,Roald,NO,2022-01-09 14:11:55,62.5833,6.1333,35.74,55,0,12.66
205,Necochea,AR,2022-01-09 14:11:55,-38.5473,-58.7368,84.04,30,21,15.28
206,Soure,BR,2022-01-09 14:11:56,-0.7167,-48.5233,76.71,86,100,8.3
207,Lorengau,PG,2022-01-09 14:11:56,-2.0226,147.2712,80.74,79,100,5.95
208,Nyurba,RU,2022-01-09 14:11:56,63.2842,118.3319,-30.21,96,6,5.57
209,Hualmay,PE,2022-01-09 14:11:56,-11.0964,-77.6139,72.84,76,27,8.41
210,Sungairaya,ID,2022-01-09 14:07:16,0.7,108.9,79.14,86,98,9.46
211,Gull Lake,CA,2022-01-09 14:11:57,50.1001,-108.4847,-12.64,95,75,6.31
212,Great Falls,US,2022-01-09 14:07:23,47.5002,-111.3008,30.42,51,0,7.0
213,Kavaratti,IN,2022-01-09 14:11:57,10.5669,72.642,79.84,67,0,9.73
214,Daru,PG,2022-01-09 14:10:07,-9.0763,143.2092,78.96,85,99,9.62
215,Champerico,GT,2022-01-09 14:11:57,14.3,-91.9167,84.34,67,1,3.44
216,Mongo,TD,2022-01-09 14:11:58,12.1844,18.693,92.66,13,19,11.07
217,Girua,BR,2022-01-09 14:11:58,-28.0283,-54.3497,83.88,30,1,8.39
218,Puri,IN,2022-01-09 14:11:58,19.8,85.85,70.32,64,0,4.72
219,Hai Duong,VN,2022-01-09 14:09:16,20.9333,106.3167,60.8,72,100,1.63
220,Serra,BR,2022-01-09 14:10:11,-20.1286,-40.3078,76.46,88,100,0.0
221,Dikson,RU,2022-01-09 14:11:58,73.5069,80.5464,-9.17,97,100,12.68
222,Ornskoldsvik,SE,2022-01-09 14:11:59,63.2909,18.7153,19.22,100,100,5.75
223,Coolum Beach,AU,2022-01-09 14:11:59,-26.5333,153.1,76.1,90,5,8.03
224,Zhigansk,RU,2022-01-09 14:11:59,66.7697,123.3711,-35.16,97,77,16.31
225,Pisco,PE,2022-01-09 14:12:00,-13.7,-76.2167,75.25,78,20,2.3
226,Waingapu,ID,2022-01-09 14:12:00,-9.6567,120.2641,78.57,84,96,6.29
227,Sola,VU,2022-01-09 14:12:00,-13.8833,167.55,82.09,76,85,12.44
228,Baoding,CN,2022-01-09 14:13:00,38.8511,115.4903,32.16,68,76,5.48
229,Nome,US,2022-01-09 14:13:01,64.5011,-165.4064,5.07,48,0,31.07
230,Hun,LY,2022-01-09 14:13:01,29.1268,15.9477,59.34,36,6,18.84
231,Kassala,SD,2022-01-09 14:13:01,15.451,36.4,93.97,22,11,12.06
232,Cordoba,AR,2022-01-09 14:09:19,-31.4135,-64.1811,92.43,33,20,4.0
233,Provideniya,RU,2022-01-09 14:13:01,64.3833,-173.3,0.79,66,0,10.02
234,Praia Da Vitoria,PT,2022-01-09 14:13:02,38.7333,-27.0667,60.76,71,81,20.38
235,Luena,AO,2022-01-09 14:13:02,-11.7833,19.9167,78.57,61,69,6.93
236,Luderitz,NA,2022-01-09 14:13:02,-26.6481,15.1594,71.08,73,29,12.19
237,Carauari,BR,2022-01-09 14:13:03,-4.8828,-66.8958,75.99,89,97,2.33
238,Karasjok,NO,2022-01-09 14:13:03,69.4719,25.5112,15.91,100,36,2.68
239,Vieux Fort,LC,2022-01-09 14:13:03,13.7167,-60.95,78.78,67,10,20.02
240,Shellbrook,CA,2022-01-09 14:13:03,53.2168,-106.4011,-35.25,99,9,5.1
241,Norrtalje,SE,2022-01-09 14:13:04,59.758,18.705,33.24,97,16,4.09
242,Kloulklubed,PW,2022-01-09 14:13:04,7.0419,134.2556,75.7,74,100,10.04
243,Dukat,RU,2022-01-09 14:13:04,62.55,155.55,-9.36,93,54,2.28
244,Junction City,US,2022-01-09 14:10:55,39.0286,-96.8314,17.62,64,0,1.99
245,Itagiba,BR,2022-01-09 14:13:05,-14.2836,-39.8428,83.35,64,100,2.86
246,Tsiroanomandidy,MG,2022-01-09 14:13:05,-18.7667,46.0333,78.66,67,96,3.67
247,Princeville,CA,2022-01-09 14:13:05,45.7668,-61.2985,24.13,88,100,8.75
248,Praia,CV,2022-01-09 14:13:05,14.9215,-23.5087,74.88,59,100,8.28
249,Sinegorye,RU,2022-01-09 14:13:06,62.0788,150.477,-0.27,100,100,1.23
250,Cam Ranh,VN,2022-01-09 14:13:06,11.9214,109.1591,73.36,88,40,13.8
251,Luancheng,CN,2022-01-09 14:13:06,37.8792,114.6517,34.36,53,100,4.88
252,Plouzane,FR,2022-01-09 14:13:07,48.3833,-4.6167,50.18,93,100,11.5
253,Nanortalik,GL,2022-01-09 14:13:07,60.1432,-45.2371,18.9,93,100,22.48
254,Ketchikan,US,2022-01-09 14:13:07,55.3422,-131.6461,44.58,87,100,28.77
255,Rabo De Peixe,PT,2022-01-09 14:13:07,37.8,-25.5833,63.28,100,20,11.5
256,Hobyo,SO,2022-01-09 14:13:08,5.3505,48.5268,79.41,62,10,22.57
257,Kungurtug,RU,2022-01-09 14:13:08,50.5994,97.5228,-5.51,96,18,2.15
258,Porto Recanati,IT,2022-01-09 14:13:08,43.4365,13.6613,42.98,59,100,9.19
259,Yulara,AU,2022-01-09 14:13:09,-25.2406,130.9889,89.44,12,8,6.91
260,Muroto,JP,2022-01-09 14:13:09,33.2833,134.15,52.36,63,100,10.29
261,Te Anau,NZ,2022-01-09 14:13:09,-45.4167,167.7167,56.86,89,84,1.7
